r(B_06,5)	round(B_06_ERR,5)	round(V_06,5)	round(V_06_ERR,5)	round(R_06,5)	round(R_06_ERR,5)	round(F814W_06,5)	round(F814W_06_ERR,5)	round(Z_06,5)	round(Z_06_ERR,5)	round(Z_BEST,8)	CLASSIF	Z_USE
19.55370	0.00550	18.55130	0.00290	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
25.52920	0.10490	24.21760	0.04570	23.42910	0.02960	21.36570	0.04360	20.73350	0.00870	-999.98999023	1	4.00000000
21.83490	0.01580	20.72750	0.00800	20.25710	0.00650	19.39830	0.01420	19.14160	0.00400	-999.98999023	1	4.00000000
19.00000	0.00430	18.46570	0.00280	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
18.11560	0.00280	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
24.89120	0.07290	24.02780	0.04100	23.36900	0.02870	21.17030	0.03800	20.48070	0.00760	-999.98999023	1	4.00000000
21.24310	0.01200	20.15660	0.00610	19.60170	0.00480	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
26.04550	0.14830	25.14170	0.08150	24.20770	0.04510	21.56640	0.04890	20.82030	0.00910	-999.98999023	1	4.00000000
23.84120	0.04200	22.65380	0.02000	22.00680	0.01460	20.39090	0.02390	19.90950	0.00570	-999.98999023	1	4.00000000
24.07870	0.04760	23.03610	0.02450	22.48520	0.01840	21.20000	0.04210	20.84390	0.00930	-999.98999023	1	4.00000000
22.43810	0.02110	21.20120	0.01000	20.58980	0.00770	-999.98999	-999.98999	18.46730	0.00290	-999.98999023	1	4.00000000
23.29940	0.03220	22.34220	0.01740	21.77670	0.01320	20.08110	0.02050	19.55560	0.00490	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
23.06600	0.02840	22.74420	0.02090	22.66500	0.02010	22.46100	0.09570	22.31320	0.02250	-999.98999023	1	4.00000000
21.56240	0.01390	20.54910	0.00740	19.98660	0.00580	-999.98999	-999.98999	18.52580	0.00310	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
19.46240	0.00530	18.85970	0.00340	18.65180	0.00310	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
